ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3807,0.0084,9.9515,-0.3429,0.0094,9.8039,-0.0377,-0.001,0.1476,-0.0687,0.0296,0.0288,22.0,-17.15,18.2,-39.7,45.55,-0.06,2.0,3.1,960.9,42.6,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,7,2018-06-18 23:00:48:155
-0.4771,-0.0671,10.0196,-0.4551,-0.0678,9.7991,-0.0383,0.0055,0.2533,-0.0115,0.0107,-0.0043,21.0,-15.5,17.85,-40.35,43.53,0.4,2.66,3.1,960.82,42.192,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,507,2018-06-18 23:00:48:655
-0.31,-0.4401,10.0347,-0.4669,-0.3675,9.7919,0.1569,-0.0726,0.2428,-0.2037,0.0756,-0.037,20.0,-15.6,18.7,-40.15,44.08,0.72,2.74,3.1,960.85,42.653,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,1011,2018-06-18 23:00:49:159
-0.3506,-0.677,9.4967,0.1422,-0.3525,9.8025,-0.4928,-0.3245,-0.3058,-0.5127,-0.1734,-0.0762,52.0,-14.8,18.1,-40.7,41.11,2.06,-0.83,3.1,960.87,42.339,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,1507,2018-06-18 23:00:49:655
-1.7009,0.1587,9.5687,-1.6428,0.3905,9.6635,-0.0581,-0.2319,-0.0948,0.2578,0.4858,0.9374,13.0,-13.35,19.3,-40.3,43.64,-2.28,9.65,3.1,960.81,43.595,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,2006,2018-06-18 23:00:50:154
-0.4732,1.1743,9.9381,0.2958,1.7148,9.6543,-0.3934,-0.3735,0.3013,0.0868,-0.0535,0.3313,17.0,-6.95,17.85,-41.7,15.51,-8.12,-0.55,3.1,960.85,43.259,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,2506,2018-06-18 23:00:50:654
0.4696,1.6121,9.7754,0.8004,1.3098,9.6891,0.1148,-0.0097,0.3771,0.0474,-0.11,0.9507,20.0,-4.05,13.4,-42.0,1.64,-7.67,-4.72,3.1,960.82,42.797,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,3006,2018-06-18 23:00:51:154
0.7252,0.7887,9.8337,0.71,1.4872,9.6705,0.0557,-0.7297,0.0862,-0.0509,0.017,0.7302,4.0,-0.65,13.7,-40.9,354.29,-8.72,-4.2,3.1,960.82,43.269,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,3510,2018-06-18 23:00:51:658
0.7425,0.8758,10.0603,0.7667,1.0375,9.7247,-0.0242,-0.1617,0.3356,0.0101,0.0328,0.7505,15.0,3.65,9.65,-42.05,333.05,-6.07,-4.51,3.1,960.85,42.379,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,4009,2018-06-18 23:00:52:157
1.4018,0.9245,9.3591,1.3991,0.6476,9.688,0.0127,0.1376,0.1949,-0.1286,-0.0304,0.0357,15.0,6.05,4.05,-42.8,299.16,-3.78,-8.22,3.1,960.82,42.708,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,4507,2018-06-18 23:00:52:655
5.5229,-0.7709,10.8735,4.4851,-0.6467,8.7005,0.8824,0.0594,2.3715,-0.2437,-0.1241,0.249,20.0,1.95,3.55,-42.8,274.08,3.78,-27.27,3.1,960.88,40.632,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,5010,2018-06-18 23:00:53:158
5.2824,-2.1986,7.5904,6.2675,-2.5112,7.1167,-0.6131,-0.316,-0.021,-0.6224,-0.9526,0.29,28.0,-8.9,9.35,-41.95,267.57,14.83,-41.37,3.1,960.76,41.985,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,5507,2018-06-18 23:00:53:655
7.8311,-5.0071,3.9834,6.8908,-3.8913,5.7974,-0.7703,0.4853,0.4058,-0.1712,-1.1396,0.8629,129.0,-14.05,15.6,-39.45,271.32,23.37,-49.92,3.1,960.88,42.844,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,6007,2018-06-18 23:00:54:155
6.9602,-5.6314,3.4143,8.0103,-4.4799,3.4641,-1.0501,-1.1516,-0.0498,0.7619,-0.4615,0.4027,3.0,-31.75,25.9,-27.2,291.77,27.17,-66.61,3.1,960.91,42.26,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,6506,2018-06-18 23:00:54:654
7.7892,-5.3454,3.009,7.8893,-5.0819,2.858,-0.1001,-0.2635,0.151,0.5814,-0.5723,0.0546,3.0,-37.85,22.05,-24.15,238.87,32.47,-68.62,3.1,960.95,44.049,43.43826,-96.68999,,1422.826814170571,,,58.722584,,0 / 21,7007,2018-06-18 23:00:55:155
7.5067,-5.8528,3.5487,8.2971,-4.4896,2.6899,-0.7904,-1.3632,0.8588,-0.8357,0.4248,-0.8815,2.0,-41.5,16.35,-20.0,215.02,30.54,-72.09,3.1,960.95,41.255,43.43826,-96.68999,,1422.826814170571,,,58.722584,,2 / 20,7507,2018-06-18 23:00:55:655
7.4847,-5.275,3.0662,8.2467,-4.7266,2.4265,-0.7619,-0.5485,0.6398,-0.5023,0.967,0.2812,2.0,-42.2,13.3,-19.2,211.0,28.8,-73.6,3.1,960.91,42.126,43.43826,-96.68999,,1422.826814170571,,,58.722584,,2 / 20,8010,2018-06-18 23:00:56:158
7.5882,-6.2911,5.5178,6.8655,-3.2857,6.189,0.1968,-3.1851,-0.6056,1.167,1.0831,-0.5001,1.0,-36.75,12.75,-25.45,112.43,19.57,-47.97,3.1,960.9,42.81,43.43826,-96.68999,,1422.826814170571,,,58.722584,,4 / 20,8531,2018-06-18 23:00:56:679
4.3757,-0.339,9.0464,1.6776,-0.6226,9.6453,2.141,-0.5218,-0.5039,-0.159,1.3398,0.8314,2.0,-24.65,-3.55,-33.75,106.14,-0.32,-18.31,3.1,960.86,43.152,43.43826,-96.68999,,1422.826814170571,,,58.722584,,4 / 20,9008,2018-06-18 23:00:57:156
-0.8731,1.0101,9.4118,-0.7784,-0.2635,9.7754,-0.0948,1.2736,-0.3636,0.7507,0.8272,0.7981,3.0,-8.8,-7.25,-38.8,123.62,1.54,4.55,3.1,961.0,53.03,43.43826,-96.68999,,1422.826814170571,,,58.722584,,6 / 20,9506,2018-06-18 23:00:57:654
-3.109,-0.513,9.0779,-2.5517,-0.557,9.4558,0.0681,-0.7931,0.5591,0.2008,0.5361,-0.3334,5.0,2.5,-8.4,-38.8,144.46,3.25,15.1,3.1,960.9,45.635,43.43826,-96.68999,,1422.826814170571,,,58.722584,,6 / 20,10008,2018-06-18 23:00:58:156
-2.5107,-0.5336,9.6859,-2.6998,-0.4051,9.4225,-0.0618,-0.0742,0.3296,-0.0248,-0.004,0.0671,5.0,9.0,-7.7,-37.0,170.91,2.37,15.97,3.1,960.9,45.383,43.43826,-96.68999,,1422.826814170571,,,58.722584,,7 / 20,10507,2018-06-18 23:00:58:655
-0.3518,-1.202,10.1754,0.6273,-2.0308,9.5769,-0.9365,1.0171,0.1433,-0.2999,-1.1803,0.644,4.0,6.2,-6.3,-38.3,194.91,10.46,3.87,3.1,960.98,47.358,43.43826,-96.68999,,1422.826814170571,,,58.722584,,7 / 20,11006,2018-06-18 23:00:59:154
1.7026,-3.8223,9.2747,1.6235,-3.4151,9.0518,0.079,-0.4072,0.2229,-0.0453,-0.0722,0.0991,2.0,-7.15,-0.05,-41.95,182.03,20.37,-10.17,3.1,961.02,46.481,43.43789,-96.689926,1335.16,1422.826814170571,,0.0,229.03226,,7 / 20,11507,2018-06-18 23:00:59:655
1.7481,-3.2834,9.3367,1.6178,-3.2108,9.1273,0.1302,-0.0726,0.2094,0.0043,0.0269,0.0453,2.0,-9.9,1.45,-42.8,170.15,19.11,-10.05,3.1,960.97,46.242,43.43789,-96.689926,1335.16,1422.826814170571,,0.0,229.03226,,7 / 20,12009,2018-06-18 23:01:00:157
1.6039,-3.4163,9.2972,1.6309,-3.3319,9.0815,-0.0269,-0.0844,0.2157,-0.065,-0.013,0.0128,2.0,-9.35,-2.7,-42.15,175.29,19.86,-10.18,3.1,960.84,48.821,43.43785,-96.68991,1335.48,1422.826814170571,,0.0,187.09677,,8 / 20,12506,2018-06-18 23:01:00:654
