ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.073,0.2423,9.9826,-0.0698,0.2417,9.8067,-0.0084,-0.0096,0.1702,-3.0E-4,-0.0051,0.0099,16.0,-36.4,-8.3,-46.55,100.67,-1.41,0.41,3.1,959.78,57.659,43.438286,-96.68982,1295.81,NaN,,0.0,12.903226,,15 / 20,16,2018-06-18 04:38:36:205
-0.0778,0.2486,9.9874,-0.0726,0.2398,9.8067,-0.0052,0.0088,0.1807,-0.0011,-0.0059,0.0101,20.0,-37.3,-6.85,-48.15,98.87,-1.4,0.42,3.1,959.71,57.125,43.438286,-96.68982,1295.81,NaN,,0.0,12.903226,,15 / 20,516,2018-06-18 04:38:36:705
-0.0777,0.242,9.9811,-0.0753,0.2379,9.8067,-0.0024,0.0042,0.1744,-0.0032,-0.0061,0.0107,17.0,-36.75,-7.95,-48.3,98.88,-1.39,0.44,3.1,959.76,55.762,43.438286,-96.68982,1295.81,NaN,,0.0,12.903226,,15 / 20,1016,2018-06-18 04:38:37:205
-0.0787,0.2386,9.983,-0.075,0.2376,9.8067,-0.0037,0.001,0.1763,0.0011,-0.0069,0.0088,24.0,-36.3,-9.55,-48.1,103.66,-1.39,0.44,3.1,959.78,52.836,43.438286,-96.68982,1295.81,NaN,,0.0,12.903226,,15 / 20,1516,2018-06-18 04:38:37:705
-0.0735,0.2364,9.9802,-0.0751,0.2388,9.8067,0.0016,-0.0024,0.1735,0.0019,-0.0043,0.0096,18.0,-35.95,-9.2,-47.9,102.16,-1.39,0.44,3.1,959.78,52.583,43.438286,-96.68982,1295.81,NaN,,0.0,12.903226,,15 / 20,2016,2018-06-18 04:38:38:205
-0.081,0.2398,9.972,-0.0766,0.2382,9.8067,-0.0043,0.0016,0.1653,-3.0E-4,-0.0061,0.0096,18.0,-35.7,-10.05,-48.3,103.66,-1.39,0.45,3.1,959.71,52.841,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 19,2515,2018-06-18 04:38:38:704
-0.0772,0.2434,9.9661,-0.078,0.2376,9.8067,7.0E-4,0.0058,0.1594,-5.0E-4,-0.0061,0.0093,17.0,-37.15,-7.25,-47.35,98.92,-1.39,0.46,3.1,959.74,54.067,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 19,3015,2018-06-18 04:38:39:204
-0.0802,0.2476,9.9721,-0.0795,0.2362,9.8067,-7.0E-4,0.0114,0.1654,-0.0029,-0.0056,0.0099,24.0,-35.65,-9.35,-47.5,102.21,-1.38,0.47,3.1,959.7,55.23,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 20,3515,2018-06-18 04:38:39:704
-0.0756,0.2361,9.9645,-0.079,0.2365,9.8067,0.0034,-4.0E-4,0.1578,0.0,-0.0048,0.0096,22.0,-35.85,-10.6,-48.55,105.1,-1.38,0.46,3.1,959.67,53.114,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 20,4017,2018-06-18 04:38:40:206
-0.0784,0.2397,9.9661,-0.0802,0.2368,9.8067,0.0037,-0.007,0.1677,-0.0011,-0.0064,0.0104,18.0,-35.65,-10.2,-48.55,103.63,-1.38,0.47,3.1,959.74,55.527,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 20,4516,2018-06-18 04:38:40:705
-0.0705,0.2364,9.9751,-0.079,0.2368,9.8067,0.0085,-4.0E-4,0.1684,-5.0E-4,-0.004,0.0096,17.0,-35.55,-9.85,-48.3,103.66,-1.38,0.46,3.1,959.74,51.967,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 20,5015,2018-06-18 04:38:41:204
-0.0822,0.2316,9.9735,-0.0783,0.2361,9.8067,0.0034,0.0054,0.1648,0.0024,-0.0059,0.0091,18.0,-35.55,-10.45,-48.45,103.67,-1.38,0.46,3.1,959.71,54.605,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 20,5516,2018-06-18 04:38:41:705
-0.0858,0.2407,9.9702,-0.079,0.2364,9.8067,-0.0034,0.0016,0.1662,3.0E-4,-0.0053,0.0091,22.0,-35.8,-8.8,-48.25,102.17,-1.38,0.46,3.1,959.72,53.497,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 20,6015,2018-06-18 04:38:42:204
-0.0805,0.2422,9.976,-0.0793,0.2365,9.8067,-0.0012,0.0057,0.1693,-0.0019,-0.0051,0.0091,24.0,-35.95,-9.1,-47.5,102.21,-1.38,0.46,3.1,959.69,53.383,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 20,6516,2018-06-18 04:38:42:705
-0.0765,0.2328,9.9631,-0.0796,0.2364,9.8067,-0.004,0.0015,0.1563,0.0,-0.0061,0.0088,24.0,-35.75,-10.55,-48.15,105.14,-1.38,0.47,3.1,959.72,47.572,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,14 / 20,7016,2018-06-18 04:38:43:205
-0.0683,0.235,9.9687,-0.0799,0.2365,9.8067,0.0039,0.0039,0.1697,-0.0013,-0.0064,0.0085,21.0,-35.9,-9.6,-47.65,103.66,-1.38,0.47,3.1,959.78,54.069,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,7516,2018-06-18 04:38:43:705
-0.0701,0.2453,9.9711,-0.0769,0.2353,9.8069,0.0031,0.004,0.1563,-0.0013,-0.0043,0.0096,21.0,-35.0,-11.3,-48.1,105.56,-1.38,0.46,3.1,959.72,53.279,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,8016,2018-06-18 04:38:44:205
-0.082,0.2362,9.9877,-0.0769,0.2338,9.8069,-0.0052,0.0013,0.1808,-0.004,-0.0048,0.0099,18.0,-35.5,-9.1,-47.05,102.56,-1.37,0.45,3.1,959.76,51.57,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,8516,2018-06-18 04:38:44:705
-0.0786,0.2416,9.9751,-0.0771,0.2349,9.8069,-0.0012,0.0057,0.1684,0.0021,-0.0056,0.0083,17.0,-36.05,-10.25,-48.0,103.68,-1.37,0.45,3.1,959.76,51.29,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,9016,2018-06-18 04:38:45:205
-0.0844,0.2385,9.9724,-0.0783,0.2356,9.8069,-0.0066,0.0027,0.1656,0.0013,-0.0051,0.0091,22.0,-35.85,-9.8,-48.3,103.67,-1.38,0.45,3.1,959.67,49.347,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,9516,2018-06-18 04:38:45:705
-0.082,0.2362,9.9841,-0.078,0.2353,9.8069,-0.004,9.0E-4,0.1772,0.0021,-0.0053,0.0101,25.0,-36.2,-8.4,-48.95,100.63,-1.37,0.46,3.1,959.76,53.932,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,10016,2018-06-18 04:38:46:205
-0.075,0.2368,9.979,-0.0789,0.2349,9.8069,0.0039,0.0019,0.1721,0.0,-0.0059,0.0093,19.0,-35.75,-10.1,-49.0,103.64,-1.37,0.46,3.1,959.78,53.466,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,10516,2018-06-18 04:38:46:705
0.3859,-0.1968,11.0508,0.4253,0.0775,9.8004,-1.0855,-0.8423,-0.0129,1.2147,-1.8043,0.5606,20.0,-35.95,-10.55,-48.3,107.38,-0.45,-2.48,3.1,959.74,52.013,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,11017,2018-06-18 04:38:47:206
5.7519,7.017,2.2735,5.3919,7.8636,2.3076,0.36,-0.8466,-0.0341,0.8021,-0.2724,-0.196,105.0,-43.35,-13.05,-21.8,353.88,-53.28,-66.83,3.1,959.69,54.153,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,11516,2018-06-18 04:38:47:705
5.0933,8.5046,0.5396,4.8587,8.5035,0.5628,0.2346,0.001,-0.0232,0.1095,-0.2258,-0.0362,60.0,-40.95,-21.45,-5.7,357.2,-60.09,-83.39,3.1,959.66,49.908,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,12016,2018-06-18 04:38:48:205
4.5568,8.7201,0.0042,4.5438,8.6941,-0.0043,-0.0988,0.0141,-0.0027,0.0099,0.0032,-0.0407,49.0,-36.85,-24.1,0.25,359.91,-62.41,-90.05,3.1,959.72,52.396,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,12516,2018-06-18 04:38:48:705
4.4999,9.0731,0.2691,4.0907,8.9134,0.2284,0.4092,0.1597,0.0407,0.0594,0.1949,-0.0549,46.0,-35.75,-24.6,1.3,7.72,-65.31,-86.8,3.1,959.72,52.924,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,13015,2018-06-18 04:38:49:204
2.6529,9.5843,1.5532,2.721,9.349,1.1942,-0.0681,0.2353,0.359,0.081,-0.0253,-0.0218,22.0,-34.6,-28.2,-3.65,23.79,-72.37,-66.3,3.1,959.78,54.873,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,13516,2018-06-18 04:38:49:705
2.5763,9.5114,1.211,2.6131,9.3897,1.1135,-0.0368,0.1217,0.0974,0.0234,-0.0623,0.0067,22.0,-32.55,-29.2,-7.1,15.59,-73.17,-66.92,3.1,959.72,52.026,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,14016,2018-06-18 04:38:50:205
2.6109,9.4787,1.2411,2.5946,9.3867,1.1801,0.0163,0.0921,0.0609,-0.0178,-0.0178,-0.0144,22.0,-32.35,-31.15,-6.65,17.63,-73.11,-65.54,3.1,959.74,51.074,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,14516,2018-06-18 04:38:50:705
2.5526,9.4371,1.2536,2.5999,9.3708,1.2899,-0.0473,0.0663,-0.0362,0.0064,-0.017,-0.0061,22.0,-31.7,-31.15,-6.5,22.72,-72.8,-63.86,3.1,959.68,53.24,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,15 / 20,15016,2018-06-18 04:38:51:205
2.645,9.4575,1.4533,2.6344,9.3425,1.4187,0.0106,0.115,0.0346,-0.0245,-0.0229,0.0096,23.0,-31.55,-31.95,-7.35,23.36,-72.37,-62.08,3.1,959.68,52.881,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,16 / 20,15516,2018-06-18 04:38:51:705
2.5824,9.1102,1.3053,2.3465,9.2993,2.062,0.2359,-0.1891,-0.7567,-0.6197,1.3089,-0.6591,48.0,-31.15,-32.2,-8.6,38.03,-71.43,-48.69,3.1,959.74,52.093,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,16 / 20,16016,2018-06-18 04:38:52:205
-0.9531,7.6648,5.6051,-1.1123,7.8367,5.7952,0.1593,-0.1718,-0.1901,-1.1766,0.6903,-0.3209,23.0,-27.4,-31.25,-17.55,86.84,-63.28,1.47,3.1,959.78,52.966,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,16 / 20,16516,2018-06-18 04:38:52:705
-2.11,5.0544,8.1826,-1.9834,4.4737,8.5022,-0.1266,0.5806,-0.3196,-1.302,-0.7079,-0.0176,7.0,-19.95,-24.55,-37.45,105.8,-27.13,13.13,3.1,959.74,54.654,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,16 / 20,17016,2018-06-18 04:38:53:205
0.9908,0.7216,10.4097,1.0067,0.5303,9.7437,0.3227,0.486,-0.0178,-0.1947,0.0567,0.0594,43.0,-29.95,-12.7,-42.5,112.47,-3.1,-5.9,3.1,959.83,54.63,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,16 / 20,17516,2018-06-18 04:38:53:705
-0.0501,0.275,10.0303,-0.1166,0.1093,9.8087,0.0665,0.1657,0.2217,0.0059,-0.0051,0.2418,25.0,-35.55,-5.8,-43.2,98.61,-0.64,0.68,3.1,959.8,56.462,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,16 / 20,18016,2018-06-18 04:38:54:205
-0.0997,0.2251,9.9642,-0.129,0.1385,9.8081,0.0293,0.0867,0.1561,3.0E-4,-0.0061,0.0104,21.0,-33.95,-5.05,-45.3,97.2,-0.81,0.75,3.1,959.71,57.166,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,16 / 20,18516,2018-06-18 04:38:54:705
-0.104,0.2281,9.9672,-0.118,0.1657,9.8078,0.0254,0.0644,0.1522,0.0024,-0.0053,0.0101,19.0,-33.9,-5.2,-44.9,97.01,-0.97,0.69,3.1,959.8,57.695,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,16 / 20,19016,2018-06-18 04:38:55:205
-0.1031,0.2359,9.9741,-0.1081,0.1906,9.8075,0.0058,0.0476,0.1666,-3.0E-4,-0.0064,0.0096,15.0,-34.7,-3.7,-45.15,95.04,-1.11,0.63,3.1,959.84,55.854,43.43828,-96.68982,1297.42,1423.2978942237803,,0.0,12.903226,,16 / 20,19515,2018-06-18 04:38:55:704
