ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0885,0.292,9.9679,-0.0892,0.2808,9.8055,7.0E-4,0.0112,0.1624,-0.0024,-0.0056,0.0107,59.0,-24.4,17.75,-37.75,51.92,-1.64,0.52,3.1,960.65,47.603,43.438145,-96.68999,1311.61,1422.3000654821062,,,64.51613,,5 / 19,8,2018-06-19 14:53:40:805
-0.0892,0.2926,9.9589,-0.0898,0.2769,9.8057,6.0E-4,0.0157,0.1533,-0.0051,-0.0061,0.0096,68.0,-24.05,16.8,-38.2,53.42,-1.63,0.52,3.1,960.53,42.824,43.438145,-96.68999,1311.61,1422.3000654821062,,,64.51613,,5 / 19,508,2018-06-19 14:53:41:305
-0.0867,0.297,9.9669,-0.0912,0.2777,9.8055,0.0045,0.0193,0.1614,-0.0013,-0.0059,0.0107,74.0,-23.7,16.4,-38.65,54.95,-1.62,0.53,3.1,960.58,42.852,43.43825,-96.68987,1415.16,1422.3000654821062,,0.0,329.03226,,6 / 19,1009,2018-06-19 14:53:41:806
-0.0939,0.3019,9.9567,-0.0934,0.2817,9.8054,-4.0E-4,0.0202,0.1513,0.0013,-0.0067,0.0104,72.0,-23.15,15.2,-38.2,55.46,-1.65,0.55,3.1,960.58,42.218,43.43825,-96.68987,1415.16,1422.3000654821062,,0.0,329.03226,,6 / 19,1508,2018-06-19 14:53:42:305
-0.0901,0.3097,9.9841,-0.0952,0.2846,9.8054,0.0051,0.0251,0.1787,-0.0011,-0.0056,0.0096,74.0,-23.25,14.8,-38.5,55.45,-1.66,0.56,3.1,960.64,42.307,43.438236,-96.689865,1411.94,1422.3000654821062,,0.0,283.87097,,6 / 19,2008,2018-06-19 14:53:42:805
-0.0967,0.269,9.9272,-0.0913,0.2548,9.8063,-0.0054,0.0142,0.1209,-0.0115,-0.0104,0.0091,72.0,-23.8,15.4,-38.4,56.73,-1.49,0.53,3.1,960.64,47.61,43.438236,-96.689865,1411.94,1422.3000654821062,,0.0,283.87097,,6 / 19,2508,2018-06-19 14:53:43:305
-0.0958,0.2763,9.9703,-0.0909,0.2546,9.8063,0.0058,0.021,0.1602,-0.0027,-0.0069,0.0112,51.0,-24.65,18.7,-37.8,51.77,-1.49,0.53,3.1,960.58,42.494,43.438236,-96.689865,1411.94,1422.3000654821062,,0.0,283.87097,,6 / 19,3008,2018-06-19 14:53:43:805
-0.0861,0.278,9.9606,-0.0895,0.2578,9.8061,0.0012,0.0183,0.1479,-8.0E-4,-0.0061,0.0104,56.0,-23.9,16.7,-38.15,53.54,-1.51,0.52,3.1,960.64,42.258,43.438236,-96.689865,1411.94,1422.3000654821062,,0.0,283.87097,,6 / 19,3507,2018-06-19 14:53:44:304
-0.0885,0.27,9.9654,-0.0897,0.2609,9.8061,7.0E-4,0.0133,0.1501,0.0027,-0.0016,0.0104,64.0,-23.85,16.15,-38.45,55.08,-1.52,0.52,3.1,960.57,42.779,43.438248,-96.689865,1409.35,1422.3000654821062,,0.0,206.45161,,6 / 19,4008,2018-06-19 14:53:44:805
-0.0989,0.2829,9.9696,-0.0897,0.2615,9.806,-0.0093,0.0214,0.1636,-8.0E-4,-0.0075,0.0101,71.0,-24.15,16.5,-38.95,53.49,-1.53,0.52,3.1,960.63,42.655,43.438248,-96.689865,1409.35,1422.3000654821062,,0.0,206.45161,,6 / 19,4508,2018-06-19 14:53:45:305
