ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.104782,0.296533,9.944272,-0.003728,-0.007723,0.011185,49.0,-21.5,18.2,-35.3,961.08,48.97614,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,10,2018-06-19 22:49:42:664
-0.097747,0.296683,9.944422,0.003728,-0.006658,0.010386,49.0,-21.5,18.75,-35.4,961.23,48.97614,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,110,2018-06-19 22:49:42:764
-0.107027,0.298928,9.927956,-2.66E-4,-0.006392,0.010919,49.0,-21.25,18.8,-35.3,961.2,48.97614,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,210,2018-06-19 22:49:42:864
-0.11047,0.291294,9.932146,0.002397,-0.006924,0.01012,48.0,-21.15,18.8,-35.35,961.23,47.64875,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,310,2018-06-19 22:49:42:964
-0.100291,0.291893,9.934542,-5.33E-4,-0.006125,0.011452,48.0,-21.45,19.0,-35.8,961.23,47.64875,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,410,2018-06-19 22:49:43:064
-0.10598,0.28351,9.932746,-0.003196,-0.007457,0.010386,49.0,-21.4,18.8,-35.9,961.23,47.64875,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,509,2018-06-19 22:49:43:163
-0.098795,0.29339,9.948014,-7.99E-4,-0.007457,0.009321,47.0,-21.15,17.8,-36.25,961.23,47.64875,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,610,2018-06-19 22:49:43:264
-0.098046,0.297731,9.938582,-2.66E-4,-0.007989,0.010653,47.0,-21.35,17.8,-36.35,961.11,47.48497,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,709,2018-06-19 22:49:43:363
-0.095352,0.289648,9.932896,-0.001864,-0.002131,0.010653,48.0,-21.65,18.05,-36.35,961.11,47.48497,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,810,2018-06-19 22:49:43:464
-0.109422,0.28875,9.937386,-0.009055,0.006392,0.008788,49.0,-21.35,17.95,-36.3,961.17,47.48497,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,910,2018-06-19 22:49:43:564
-0.103734,0.371078,9.923914,-0.001332,-0.008522,-0.030626,47.0,-21.4,17.45,-36.1,961.23,47.48497,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,1010,2018-06-19 22:49:43:664
-0.089813,0.284708,9.932296,2.66E-4,-0.008788,-0.017311,47.0,-21.7,18.3,-35.55,961.23,47.86417,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,1110,2018-06-19 22:49:43:764
-0.085173,0.290546,9.93529,2.66E-4,-0.007723,-5.33E-4,48.0,-21.9,18.55,-35.45,961.17,47.86417,43.43826,-96.68995,1311.6129,NaN,,,161.29355,,2 / 26,1210,2018-06-19 22:49:43:864
